date,value,indicator_name
1979-01-02,661.5,Gold price INR
1979-01-03,661.5,Gold price INR
1979-01-04,666.0,Gold price INR
1979-01-05,679.5,Gold price INR
1979-01-08,679.5,Gold price INR
1979-01-09,670.5,Gold price INR
1979-01-10,666.0,Gold price INR
1979-01-11,666.0,Gold price INR
1979-01-12,657.0,Gold price INR
1979-01-15,657.0,Gold price INR
1979-01-16,661.5,Gold price INR
1979-01-17,679.5,Gold price INR
1979-01-18,684.0,Gold price INR
1979-01-19,715.5,Gold price INR
1979-01-22,693.0,Gold price INR
1979-01-23,697.5,Gold price INR
1979-01-24,711.0,Gold price INR
1979-01-25,711.0,Gold price INR
1979-01-26,711.0,Gold price INR
1979-01-29,693.0,Gold price INR
1979-01-30,706.5,Gold price INR
1979-01-31,679.5,Gold price INR
1979-02-01,711.0,Gold price INR
1979-02-02,702.0,Gold price INR
1979-02-05,724.5,Gold price INR
1979-02-06,733.5,Gold price INR
1979-02-07,747.0,Gold price INR
1979-02-08,765.0,Gold price INR
1979-02-09,738.0,Gold price INR
1979-02-12,751.5,Gold price INR
1979-02-13,738.0,Gold price INR
1979-02-14,715.5,Gold price INR
1979-02-15,738.0,Gold price INR
1979-02-16,742.5,Gold price INR
1979-02-19,751.5,Gold price INR
1979-02-20,747.0,Gold price INR
1979-02-21,751.5,Gold price INR
1979-02-22,756.0,Gold price INR
1979-02-23,751.5,Gold price INR
1979-02-26,747.0,Gold price INR
1979-02-27,742.5,Gold price INR
1979-02-28,742.5,Gold price INR
1979-03-01,747.0,Gold price INR
1979-03-02,742.5,Gold price INR
1979-03-05,724.5,Gold price INR
1979-03-06,715.5,Gold price INR
1979-03-07,720.0,Gold price INR
1979-03-08,706.5,Gold price INR
1979-03-09,715.5,Gold price INR
1979-03-12,715.5,Gold price INR
1979-03-13,724.5,Gold price INR
1979-03-14,724.5,Gold price INR
1979-03-15,724.5,Gold price INR
1979-03-16,724.5,Gold price INR
1979-03-19,742.5,Gold price INR
1979-03-20,733.5,Gold price INR
1979-03-21,729.0,Gold price INR
1979-03-22,733.5,Gold price INR
1979-03-23,733.5,Gold price INR
1979-03-26,733.5,Gold price INR
1979-03-27,738.0,Gold price INR
1979-03-28,733.5,Gold price INR
1979-03-29,724.5,Gold price INR
1979-03-30,715.5,Gold price INR
1979-04-02,715.5,Gold price INR
1979-04-03,715.5,Gold price INR
1979-04-04,715.5,Gold price INR
1979-04-05,715.5,Gold price INR
1979-04-06,706.5,Gold price INR
1979-04-09,720.0,Gold price INR
1979-04-10,715.5,Gold price INR
1979-04-11,720.0,Gold price INR
1979-04-12,706.5,Gold price INR
1979-04-13,706.5,Gold price INR
1979-04-16,706.5,Gold price INR
1979-04-17,697.5,Gold price INR
1979-04-18,711.0,Gold price INR
1979-04-19,729.0,Gold price INR
1979-04-20,724.5,Gold price INR
1979-04-23,720.0,Gold price INR
1979-04-24,729.0,Gold price INR
1979-04-25,742.5,Gold price INR
1979-04-26,747.0,Gold price INR
1979-04-27,742.5,Gold price INR
1979-04-30,742.5,Gold price INR
1979-05-01,751.5,Gold price INR
1979-05-02,751.5,Gold price INR
1979-05-03,742.5,Gold price INR
1979-05-04,747.0,Gold price INR
1979-05-07,747.0,Gold price INR
1979-05-08,760.5,Gold price INR
1979-05-09,751.5,Gold price INR
1979-05-10,769.5,Gold price INR
1979-05-11,774.0,Gold price INR
1979-05-14,769.5,Gold price INR
1979-05-15,760.5,Gold price INR
1979-05-16,769.5,Gold price INR
1979-05-17,774.0,Gold price INR
1979-05-18,778.5,Gold price INR
1979-05-21,792.0,Gold price INR
1979-05-22,801.0,Gold price INR
1979-05-23,792.0,Gold price INR
1979-05-24,792.0,Gold price INR
1979-05-25,814.5,Gold price INR
1979-05-28,814.5,Gold price INR
1979-05-29,832.5,Gold price INR
1979-05-30,819.0,Gold price INR
1979-05-31,828.0,Gold price INR
1979-06-01,828.0,Gold price INR
1979-06-04,814.5,Gold price INR
1979-06-05,819.0,Gold price INR
1979-06-06,837.0,Gold price INR
1979-06-07,837.0,Gold price INR
1979-06-08,832.5,Gold price INR
1979-06-11,846.0,Gold price INR
1979-06-12,828.0,Gold price INR
1979-06-13,814.5,Gold price INR
1979-06-14,823.5,Gold price INR
1979-06-15,832.5,Gold price INR
1979-06-18,832.5,Gold price INR
1979-06-19,823.5,Gold price INR
1979-06-20,823.5,Gold price INR
1979-06-21,823.5,Gold price INR
1979-06-22,837.0,Gold price INR
1979-06-25,837.0,Gold price INR
1979-06-26,832.5,Gold price INR
1979-06-27,828.0,Gold price INR
1979-06-28,823.5,Gold price INR
1979-06-29,805.5,Gold price INR
1979-07-02,828.0,Gold price INR
1979-07-03,814.5,Gold price INR
1979-07-04,810.0,Gold price INR
1979-07-05,819.0,Gold price INR
1979-07-06,832.5,Gold price INR
1979-07-09,855.0,Gold price INR
1979-07-10,850.5,Gold price INR
1979-07-11,846.0,Gold price INR
1979-07-12,850.5,Gold price INR
1979-07-13,841.5,Gold price INR
1979-07-16,846.0,Gold price INR
1979-07-17,850.5,Gold price INR
1979-07-18,868.5,Gold price INR
1979-07-19,864.0,Gold price INR
1979-07-20,864.0,Gold price INR
1979-07-23,868.5,Gold price INR
1979-07-24,868.5,Gold price INR
1979-07-25,859.5,Gold price INR
1979-07-26,859.5,Gold price INR
1979-07-27,873.0,Gold price INR
1979-07-30,868.5,Gold price INR
1979-07-31,868.5,Gold price INR
1979-08-01,846.0,Gold price INR
1979-08-02,850.5,Gold price INR
1979-08-03,837.0,Gold price INR
1979-08-06,846.0,Gold price INR
1979-08-07,841.5,Gold price INR
1979-08-08,855.0,Gold price INR
1979-08-09,864.0,Gold price INR
1979-08-10,891.0,Gold price INR
1979-08-13,895.5,Gold price INR
1979-08-14,864.0,Gold price INR
1979-08-15,886.5,Gold price INR
1979-08-16,882.0,Gold price INR
1979-08-17,886.5,Gold price INR
1979-08-20,886.5,Gold price INR
1979-08-21,891.0,Gold price INR
1979-08-22,927.0,Gold price INR
1979-08-23,918.0,Gold price INR
1979-08-24,927.0,Gold price INR
1979-08-27,927.0,Gold price INR
1979-08-28,927.0,Gold price INR
1979-08-29,918.0,Gold price INR
1979-08-30,936.0,Gold price INR
1979-08-31,931.5,Gold price INR
1979-09-03,936.0,Gold price INR
1979-09-04,954.0,Gold price INR
1979-09-05,967.5,Gold price INR
1979-09-06,999.0,Gold price INR
1979-09-07,972.0,Gold price INR
1979-09-10,990.0,Gold price INR
1979-09-11,994.5,Gold price INR
1979-09-12,999.0,Gold price INR
1979-09-13,1003.5,Gold price INR
1979-09-14,1030.5,Gold price INR
1979-09-17,1057.5,Gold price INR
1979-09-18,1120.5,Gold price INR
